"","cell_ID","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"318","X317",0.11159028069976,0,0,0.888409719300239,0,0
"319","X318",0.172944089639612,0,0.138222245415975,0.347897318350643,0.34093634659377,0
"320","X319",0,0,0.184608831857428,0.815391168142572,0,0
"321","X320",0,0.418267613517388,0.116211618243257,0.465520768239355,0,0
"322","X321",0.216504716422165,0,0.783495283577835,0,0,0
"323","X322",0,1,0,0,0,0
"324","X323",0,0,0.545182885438975,0.454817114561025,0,0
"325","X324",0.685693357174269,0,0.314306642825731,0,0,0
"326","X325",0.18146439148471,0,0,0.81853560851529,0,0
"327","X326",0.420459442828968,0,0,0.579540557171032,0,0
"328","X327",0,0.348636148112965,0.0603140847043092,0.591049767182726,0,0
"329","X328",0.0713446160703527,0.0575740721387329,0.155107433705281,0.715973878085633,0,0
"330","X329",0,0.0632069108058914,0.0643144623254151,0.872478626868693,0,0
"331","X330",0.298058358091773,0,0.19786379030528,0.504077851602947,0,0
"332","X331",0,0.0561384480174133,0.115528962670024,0.828332589312563,0,0
"333","X332",0.166099482424904,0,0,0.833900517575095,0,0
"334","X333",0,0.377998843932989,0.102670451472311,0.519330704594701,0,0
"335","X334",0.394907093557159,0.11897487430136,0,0.48611803214148,0,0
"336","X335",0,0.0803286167899795,0.124666486611594,0.492376925589642,0.302627971008785,0
"337","X336",0,0,0.235019980292934,0.764980019707066,0,0
"338","X337",0.886400952114129,0,0.113599047885871,0,0,0
"339","X338",0,0.300734732831276,0.699265267168724,0,0,0
"340","X339",0.318618942866634,0.061112683420553,0.174858226662482,0.445410147050332,0,0
"341","X340",0,1,0,0,0,0
"342","X341",0.0454530442238974,0.0510271723262349,0.504932546333223,0.398587237116644,0,0
"343","X342",0,0,1,0,0,0
"344","X343",0,0,0,1,0,0
"345","X344",0,0.477025896336552,0.522974103663448,0,0,0
"346","X345",0.0539391911317965,0.129825058999702,0.213728019683897,0.602507730184605,0,0
"347","X346",0,0.113405750705054,0.0788080751393801,0.425877533292614,0.381908640862952,0
"348","X347",0.185540714151945,0,0.105173786377468,0.709285499470587,0,0
"349","X348",0,0,0.238270489039612,0.761729510960388,0,0
"350","X349",0.502421550888767,0,0.304181157100404,0.193397292010829,0,0
"351","X350",0,0.489388980204319,0.0593560378620621,0.451254981933619,0,0
"352","X351",0.730774012385219,0,0,0.269225987614781,0,0
"353","X352",0,0.311277386486478,0.688722613513522,0,0,0
"354","X353",0.668864203227422,0,0.331135796772578,0,0,0
"355","X354",0.262342662575231,0.0883042825824779,0,0.649353054842291,0,0
"356","X355",0,0.204739242663476,0.103602857376615,0.69165789995991,0,0
"357","X356",0.132703300427868,0,0.0754913807035429,0.791805318868589,0,0
"358","X357",0,0.502278533072649,0,0.497721466927351,0,0
"359","X358",0,0.0856739988120877,0.200202958948796,0.714123042239116,0,0
"360","X359",0.427158433696508,0,0,0.572841566303492,0,0
"361","X360",0.31254888973482,0,0,0.68745111026518,0,0
"362","X361",0,0.697354063786024,0,0.302645936213976,0,0
"363","X362",0,0.177243157311552,0.160130453832627,0.66262638885582,0,0
"364","X363",0,0.068573822143118,0.0945087460536567,0.836917431803225,0,0
"365","X364",0.563292062226399,0.436707937773601,0,0,0,0
"366","X365",0,0,0.342282589239862,0.657717410760139,0,0
"367","X366",0.195904581787783,0.804095418212217,0,0,0,0
"368","X367",0.502429010843568,0,0.0441652245003369,0.453405764656096,0,0
"369","X368",0.462484881098023,0.464352236470756,0.0731628824312207,0,0,0
"370","X369",0.338457100233046,0.498610044491235,0,0.162932855275719,0,0
"371","X370",0,0.167242059969085,0.230845012509309,0.601912927521606,0,0
"372","X371",0,0.1507996183389,0,0.8492003816611,0,0
"373","X372",0,0.860270947311691,0.139729052688309,0,0,0
"374","X373",0.108787016190539,0.549117050189176,0.205535001762147,0.136560931858138,0,0
"375","X374",0.384358665424532,0,0,0.615641334575469,0,0
"376","X375",0.234375225840286,0,0,0.158469707564089,0,0.607155066595624
"377","X376",0.308813959764727,0,0,0.269842562130005,0.421343478105268,0
"378","X377",0,0.218512929177442,0.170520313812814,0.610966757009744,0,0
"379","X378",0,0,1,0,0,0
"380","X379",0.538706184290961,0,0.461293815709039,0,0,0
"381","X380",0.0855211257863622,0,0.227364863217258,0.68711401099638,0,0
"382","X381",0.449189526410786,0,0.143659540357689,0.407150933231525,0,0
"383","X382",0,0.33948448783108,0,0.66051551216892,0,0
"384","X383",0.148918332558568,0,0,0.851081667441432,0,0
"385","X384",0.365747896678733,0,0.0926907109972172,0.54156139232405,0,0
"386","X385",0,0.873895909176706,0.126104090823294,0,0,0
"387","X386",0,0,0.162983787945174,0.837016212054826,0,0
"388","X387",0.114020707851127,0,0.246105226258563,0.63987406589031,0,0
"389","X388",0.251184914481236,0.551679819265331,0.197135266253433,0,0,0
