"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X141",0.177228319023195,0.101731315304427,0.432968876163468,0.15588946711689,0.047518097130048,0.0846639252619728
"X142",0.196418151737223,0.165852677801874,0.416997410404661,0.0350773510930182,0.118110860021342,0.0675435489418819
"X143",0.21425859061861,0.259567784917703,0.312133594960311,0.0274635051517254,0.117798193038543,0.0687783313131074
"X144",0.1614328190375,0.0846058088011378,0.401237562638998,0.0486669223933477,0.237833596367031,0.0662232907619852
"X145",0.1672165083139,0.0899831916278355,0.450428150210964,0.0298573039777582,0.22168425573452,0.0408305901350216
"X146",0.241641146489593,0.0586995317688553,0.207485782572949,0.0276524149970908,0.387356812167394,0.0771643120041181
"X147",0.205263653669627,0.398268653286913,0.107721548399621,0.0473861933866111,0.113759577727024,0.127600373530203
"X148",0.190611400007324,0.0570257652519262,0.315504333840506,0.206388993625696,0.167624932393483,0.0628445748810655
"X149",0.177494545577567,0.284968629901561,0.187302184458051,0.14241281761283,0.107979093628259,0.0998427288217317
"X150",0.174951493081722,0.082115918446114,0.337452637517723,0.278826037736283,0.0310582720922202,0.0955956411259384
"X151",0.131802127999307,0.110411031746653,0.315176837178601,0.216565385926745,0.165551122106519,0.0604934950421755
"X152",0.302199522489934,0.0654757067770182,0.163690238134406,0.227841302724778,0.158311542632013,0.08248168724185
"X153",0.289304215241324,0.139463657301997,0.0391299026670097,0.22753805669152,0.2062166470874,0.0983475210107499
"X154",0.209563650483866,0.0669207341728216,0.381488289478224,0.132103029039145,0.131914166069219,0.0780101307567238
"X155",0.238450627412428,0.353258017555741,0.14391288420715,0.0372334047035203,0.152178887061877,0.0749661790592834
"X156",0.169608597528985,0.238018941851116,0.371707310724252,0.0488625899375356,0.112026172813951,0.0597763871441614
"X157",0.195937476065545,0.121092463707626,0.345671406867462,0.0238466996352925,0.266731847901107,0.0467201058229675
"X158",0.160252427189831,0.119629060899518,0.475476108793509,0.100417163325807,0.0811932577563597,0.0630319820349761
"X159",0.187097304261998,0.134430859255978,0.259980929928765,0.0921028975597804,0.245529738941316,0.0808582700521628
"X160",0.229609426985372,0.0724230155681463,0.351449717967862,0.0400474462360004,0.262847363153147,0.0436230300894732
"X161",0.216056421427108,0.215131898509247,0.153285405635883,0.176961080181219,0.135700423925122,0.102864770321422
"X162",0.216862084168214,0.114177177532025,0.243409952355379,0.189504645664948,0.158106868724418,0.0779392715550154
"X163",0.143941746702813,0.201109512325008,0.369068893513702,0.035646091315803,0.18918647585233,0.061047280290344
"X164",0.25169970675164,0.127526199341772,0.0149119994960241,0.0177939773646343,0.502796620481296,0.0852714965646341
"X165",0.217586089034056,0.179208423648074,0.096028234556872,0.258561101462214,0.141869293950556,0.106746857348228
"X166",0.141334723083998,0.305364541196091,0.346303595319766,0.0470331458415027,0.0669926906154674,0.0929713039431748
"X167",0.103608420516974,0.2730880365278,0.469556278063756,0.0418101306621231,0.0762103518328348,0.0357267823965125
"X168",0.241317826200188,0.0932077330288696,0.109161516447512,0.238650145146034,0.221509741692113,0.0961530374852822
"X169",0.415035756383802,0.0737351701705894,0.0502599530106237,0.265877618413532,0.109200403914193,0.0858910981072605
"X170",0.335781099311848,0.0953167696724054,0.0268937430245478,0.324354033374934,0.120814855896873,0.0968394987193908
"X171",0.176381792315259,0.152145066396099,0.288824572260763,0.157004858345449,0.149372807005261,0.0762709036771692
"X172",0.228695386992143,0.169651564417329,0.172589504691089,0.292179376850883,0.060238858628865,0.0766453084196906
"X173",0.122300814029714,0.259995508949066,0.381549909301355,0.0310559740835369,0.134924266351363,0.0701735272849642
"X174",0.16482685081633,0.0922363646133959,0.479817216426351,0.0990074738771602,0.0944961906286965,0.0696159036380661
"X175",0.263725581555837,0.12178433927538,0.389721280314783,0.0435281147830772,0.134116608522299,0.0471240755486241
"X176",0.200373929267596,0.343917447102189,0.197547039105664,0.110626116571195,0.0233386528154015,0.124196815137956
"X177",0.24918651080639,0.377555105149943,0.0844455682729618,0.0308629209796399,0.194059259856751,0.0638906349343147
"X178",0.23361746937555,0.0738940935361175,0.267526625612097,0.287031830965728,0.043711530589159,0.0942184499213492
"X179",0.207570061833032,0.26002775379284,0.225545552709318,0.0386465729202631,0.189893364494228,0.0783166942503182
"X180",0.165797637564639,0.111077173970846,0.351548206631887,0.142116627622165,0.135838069763171,0.0936222844472921
