"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X186",0.000335756175472694,0.000335756197991646,0.00033575618379801,0.718518860124811,0.269837570679897,0.0106363006380286
"X187",9.89360261308248e-05,9.89360259852508e-05,0.0992557273797063,0.00774292237553151,0.8927045421666,9.8936026046389e-05
"X188",6.29234506382805e-05,0.0811540288804067,0.918594277268636,6.29234664182063e-05,6.29234664194189e-05,6.29234674813879e-05
"X189",0.000842365887720688,0.00365516322257238,0.846799422002911,9.12062151079465e-05,0.14852063645658,9.12062151085024e-05
"X190",0.000209604311103749,0.027680806710206,0.510011887417373,0.428798948505756,0.0330891487434953,0.000209604312066351
"X191",9.38509995203051e-05,0.00183410869833947,0.787212716094925,0.0348982751559155,0.175867198056353,9.38509949474518e-05
"X192",0.00974472958315427,0.00479778751598235,0.485410317492909,0.0205488353138355,0.47929871745672,0.000199612637399079
"X193",6.91207213646531e-05,6.91207215836667e-05,6.91207216406043e-05,0.0094921832462813,0.99023133386832,6.91207208097898e-05
"X194",8.8811577452391e-05,0.0508362249188663,0.749521810420736,0.00112035443200105,0.197833836171713,0.000598962479232055
"X195",0.000202845075667597,0.000202845072854623,0.374792442134665,0.0485779855007643,0.547111144667705,0.0291127375483432
"X196",9.5768662262173e-05,0.0275423743968658,0.781633386593804,0.00865571812626759,0.181976983545386,9.57686754146922e-05
"X197",0.000594626441923085,0.240671833276518,0.248789903015208,0.00479874244210145,0.504828810424395,0.000316084399853778
"X198",0.000197602651578715,0.0689847442730966,0.514504777671771,0.0555633955955114,0.360551877143653,0.000197602664389295
"X199",0.000150575196237425,0.00015057519520729,0.000150575195381863,0.420197874547289,0.576137390798728,0.00321300906715656
"X200",0.00137419226141841,0.0317717296919782,0.782726230036057,0.0534221411369121,0.130611138559988,9.45683136467326e-05
"X201",0.0070776959490541,0.0512789086854661,0.188396125915155,0.283320667349429,0.46948963136016,0.000436970740736712
"X202",0.000134917552499619,0.023254125432905,0.593148494252889,0.169414611483866,0.213912933727727,0.000134917550113524
"X203",0.000336492732257563,0.309110461781216,0.000336492739420267,0.376357316370899,0.302079358692437,0.0117798776837704
"X204",0.000209830298481915,0.0912035585791367,0.506841413397169,0.115568748896523,0.278061884232025,0.00811456459666396
"X205",0.000551977211730524,0.0513081622408006,0.647870038400611,0.00273030730847589,0.297402446057619,0.00013706878076344
"X206",0.453060296875204,0.00276832204577631,0.000329703579370456,0.0132862849939887,0.530225688925914,0.000329703579746176
"X207",0.00013390895457735,0.0927955952266877,0.622315510348947,0.000133908955391997,0.284487167559003,0.000133908955391997
"X208",8.73593379936509e-05,0.0983838902804331,0.68850389076681,0.11791674134613,0.0950207589308647,8.73593377689934e-05
"X209",0.00886931291704927,0.000288150814872635,0.382072779166892,0.320359233385126,0.288122372901187,0.000288150814872638
"X210",0.000200182686167019,0.429621753397335,0.468616581433391,0.00020018268980369,0.1011611171035,0.000200182689803691
"X211",0.000253629683768471,0.000253629698377278,0.000253629698462497,0.560415921007026,0.438569560213826,0.000253629698539923
"X212",0.763216111989246,0.0135441721392474,0.0390387266237624,0.0166548609429874,0.16714997877836,0.000396149526397374
"X213",0.000462142335681545,0.135985183622838,0.335094410435276,0.363060389677051,0.16493573164623,0.000462142282923169
"X214",0.00258055530969905,0.0030774669912467,0.000260760483067568,0.119562572116604,0.874257884616037,0.000260760483346032
"X215",9.74458528366465e-05,0.285568918240489,0.714041298307479,9.74458663948214e-05,9.74458664056308e-05,9.74458663948219e-05
"X216",0.00312593234291184,0.227175078899138,0.612339898988481,0.0137409143587463,0.141657074844668,0.00196110056605401
"X217",0.000137873188218245,0.0150450397021648,0.572846658543951,0.204452681500856,0.207379873872326,0.000137873192483153
"X218",0.000295505975831641,0.0769506459767416,0.323374784713225,0.339618499435293,0.214695580142526,0.045064983756383
